name,min_price,max_price,price,sample_count,crawled_at
플레이스테이션 5 슬림 1TB,420000,520000,462500,4,2025-06-11 23:00:21.381988
닌텐도 스위치 OLED,180000,430000,274015,34,2025-06-11 23:00:21.479569
플레이스테이션 5 슬림 1TB,410000,500000,455000,4,2025-06-12 17:25:17.605765
닌텐도 스위치 OLED,178000,380000,281594,33,2025-06-12 17:25:17.684717
닌텐도 스위치 OLED 스플래툰 3 에디션,220000,350000,291703,16,2025-06-12 17:25:17.759937
닌텐도 스위치 OLED 모여봐요 동물의숲 에디션,285000,450000,330148,27,2025-06-12 17:25:17.835894
닌텐도 스위치 OLED 젤다의 전설 왕국의 눈물 에디션,220000,340000,286643,14,2025-06-12 17:25:17.918352
닌텐도 스위치 OLED 스칼렛 바이올렛 에디션,186520,673570,299786,30,2025-06-12 17:25:18.143257
닌텐도 스위치 OLED 마리오 레드 에디션,220000,361000,316364,11,2025-06-12 17:25:18.221413
닌텐도 스위치 라이트,52000,250000,149386,48,2025-06-12 17:25:18.300971
닌텐도 스위치2,500000,730000,682000,5,2025-06-12 17:25:18.377347
뉴 닌텐도 3DS XL,123456,415000,243709,40,2025-06-12 17:25:18.453012
닌텐도 3DS XL,150000,414500,236002,29,2025-06-12 17:25:18.680708
플레이스테이션 5 825GB 본체,500000,500000,500000,1,2025-06-12 17:25:18.844328
플레이스테이션 5 프로 2TB,990000,990000,990000,1,2025-06-12 17:25:18.920745
플레이스테이션 4 슬림 500GB,90000,250000,158800,10,2025-06-12 17:25:19.150514
플레이스테이션 4 슬림 1TB,130000,350000,193333,9,2025-06-12 17:32:11.070956
플레이스테이션 4 프로 1TB,150000,420000,268676,56,2025-06-12 17:32:11.314296
엑스박스 시리즈 X 1TB,290000,630000,425164,13,2025-06-12 17:32:11.391771
엑스박스 시리즈 S 512GB,190000,250000,215000,4,2025-06-12 17:32:11.481936
닌텐도 스위치 2 마리오 카트 월드,687000,881000,758305,73,2025-06-12 18:04:06.265924
New 닌텐도 2DS XL,150000,350000,223971,38,2025-06-12 18:13:19.834402
